          ;       17294;   ;Filtro    ;Inicio                                  ;20072015      ;082655;186.67.203.10  ;OK ;                    ;Inicio de filtrado                                                      
          ;       17294;   ;Filtro    ;tbk_param.txt                           ;20072015      ;082655;186.67.203.10  ;OK ;                    ;Archivo parseado                                                        
          ;       17294;   ;Filtro    ;Terminado                               ;20072015      ;082655;186.67.203.10  ;OK ;                    ;Datos Filtrados con exito                                               
739521504 ;       17294;   ;pago      ;inicio                                  ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Parseo realizado                                                        
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
739521504 ;       17294;   ;pago      ;https://certificacion.webpay.cl         ;20072015      ;082655;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;       17295;   ;resultado ;Desencriptando                          ;20072015      ;082724;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       17295;   ;resultado ;Validacion                              ;20072015      ;082724;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       17295;   ;resultado ;20                                      ;20072015      ;082724;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       17295;   ;resultado ;20                                      ;20072015      ;082724;200.10.12.55   ;OK ;                    ;http://45.55.88.47/?wc-api=WC_Gateway_Webpayplus&xt_compra              
739521504 ;       17295;   ;transacc  ;739521504                               ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
739521504 ;       17295;   ;resultado ;logro abrir_conexion                    ;20072015      ;082724;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
739521504 ;       17295;   ;transacc  ;739521504                               ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/?wc-api=WC_Gateway_Webpayplus&xt_compra   
739521504 ;       17295;   ;transacc  ;739521504                               ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
739521504 ;       17295;   ;transacc  ;739521504                               ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
739521504 ;       17295;   ;resultado ;20                                      ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
739521504 ;       17295;   ;resultado ;20                                      ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
739521504 ;       17295;   ;resultado ;20                                      ;20072015      ;082724;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
